Date,AssetName,Market,Source,Open,High,Low,Close,Volume,Value,Return_1D,Return_5D,Return_20D,Return_60D,Return_120D,Return_240D,MA30,MA60,MA120,MA30_Above_MA60,MA60_Above_MA120,MA_Alignment,Close_to_MA30,Close_to_MA60,Close_to_MA120,High_52W,Drawdown_52W,Volatility_20D,Volatility_60D,RSI14,MACD,MACD_Signal,MACD_Hist,MACD_GoldenCross,ROC60,Volume_MA20,Volume_Ratio_20D,AssetCode,Foreign,Institution,Foreign_5D,Foreign_20D,Institution_5D,Institution_20D,TotalFlow,TotalFlow_5D,TotalFlow_20D,RS_vs_KOSPI,RS_vs_KOSPI_Return_20D,RS_vs_KOSPI_Return_60D,RS_vs_NASDAQ,RS_vs_NASDAQ_Return_20D,RS_vs_NASDAQ_Return_60D,RS_vs_SP500,RS_vs_SP500_Return_20D,RS_vs_SP500_Return_60D
2024-08-07,S&P 500,US_INDEX,yfinance,5293.1298828125,5330.64013671875,5195.5400390625,5199.5,4558260000,,-0.007734647858502863,-0.05845387177521533,-0.07710633364788133,-0.004438367849661118,0.03977104402090759,0.1721119372394866,5489.215022786459,5418.576334635417,5272.385831705729,1,1,1,-0.052778953198920675,-0.04043060780284413,-0.013824070170932345,5667.2001953125,-0.08252755844047077,0.012187586601609245,0.008369692299414607,30.205223232641217,-59.27699457190465,-18.80393661797587,-40.47305795392878,0,-0.004438367849661118,4129810500.0,1.1037455592696082,^GSPC,,,,,,,,,,,,,,,,,,
2024-08-07,NASDAQ Composite,US_INDEX,yfinance,16622.310546875,16709.810546875,16179.5302734375,16195.8095703125,5913620000,,-0.010450394739652702,-0.07975219548162427,-0.13147319076607955,-0.008877161732190997,0.02122807157983142,0.1803639557348633,17710.729654947918,17414.531656901043,16736.4533203125,1,1,1,-0.08553685331717475,-0.06998305269413241,-0.03230336437791381,18647.44921875,-0.13147319076607955,0.017037085767569952,0.012233920966238921,28.247797610127094,-358.7787371691411,-172.81526994071257,-185.96346722842853,0,-0.008877161732190997,5851182500.0,1.0106709199379784,^IXIC,,,,,,,,,,,,,,,,,,
2024-08-08,SK Hynix,KR_STOCK,FinanceDataReader,162600.0,168200.0,161200.0,163400.0,5370361,,-0.03484937979917302,-0.1546818416968443,-0.32199170124481324,-0.11818672423097676,0.09885675857431075,0.4110535405872193,209830.0,209980.0,190542.5,0,1,0,-0.22127436496211217,-0.22183065053814655,-0.14244853510371702,241000.0,-0.32199170124481324,0.04333022095407999,0.0335152366350071,27.424094025465237,-14939.959758945508,-10906.185957372916,-4033.7738015725918,0,-0.11818672423097676,7186686.25,0.7472652642934009,000660,-72943.0,-291411.0,-3736133.0,-13392642.0,-753673.0,359108.0,-364354.0,-4489806.0,-13033534.0,63.90975973215787,-0.23325525393537494,-0.08837529252522991,,,,,,
2024-08-08,Samsung Electronics,KR_STOCK,FinanceDataReader,73200.0,73900.0,72500.0,73400.0,28414729,,-0.01740294511378848,-0.11672683513838744,-0.16210045662100458,-0.06257982120051087,-0.008108108108108136,0.09552238805970159,82566.66666666667,80251.66666666667,78840.0,1,1,1,-0.11102139685102952,-0.08537725073207203,-0.06900050735667174,87800.0,-0.16400911161731202,0.03107752147533643,0.02263695277015517,29.477611940298516,-2247.654412589589,-967.7695330488276,-1279.8848795407612,0,-0.06257982120051087,23607380.7,1.2036375132460164,005930,-3277706.0,-3828398.0,-24866639.0,-31004294.0,-18548286.0,-19399799.0,-7106104.0,-43414925.0,-50404093.0,28.708545681397723,-0.05243774479555585,0.01067297008808099,,,,,,
2024-08-08,Hanmi Semiconductor,KR_STOCK,FinanceDataReader,103100.0,106300.0,102400.0,104900.0,1006558,,-0.027803521779425355,-0.17596229379418693,-0.3484472049689441,-0.2602256699576869,0.32784810126582276,1.178608515057113,145826.66666666666,154351.66666666666,134776.66666666666,0,1,0,-0.2806528298436499,-0.3203831078381617,-0.22167536418272193,189000.0,-0.444973544973545,0.042811598310503296,0.039472928435194087,15.022761760242801,-14380.63175136759,-10988.202760696908,-3392.4289906706817,0,-0.2602256699576869,1486621.5,0.6770775210771538,042700,36555.0,-28971.0,570780.0,291270.0,-178670.0,-203719.0,7584.0,392110.0,87551.0,41.02897059916378,-0.26317320408762623,-0.2161502008362396,,,,,,
2024-08-08,KOSDAQ,KR_INDEX,FinanceDataReader,738.29,751.51,732.74,745.28,1012600626,,-0.004355144681646883,-0.08389364866692073,-0.1256892142371131,-0.13555645769297686,-0.12659088245634598,-0.15144200662651286,815.0986666666666,833.5233333333333,852.8269999999999,0,0,0,-0.0856567057730434,-0.10586786212743493,-0.1261064670794897,928.4,-0.19724256785868166,0.032217988121860115,0.01970701738121804,33.22476879774828,-26.460361598938448,-19.47269013914573,-6.987671459792718,0,-0.13555645769297686,873845645.7,1.1587866014813741,KQ11,,,,,,,,,,,,,,,,,,
2024-08-08,USD/KRW,FX,yfinance,1375.3299560546875,1379.530029296875,1372.1300048828125,1375.3299560546875,0,,0.003663329645327895,0.005416919024012312,-0.00553874882231753,0.016053472858067686,0.031856040793961204,0.03139951430393939,1379.301338704427,1376.297674560547,1363.4298400878906,1,1,1,-0.0028792712210877758,-0.0007031316870955706,0.008728073580984486,1393.3800048828125,-0.012954146582319526,0.004859087870955558,0.004313923041706792,41.886292358525075,-2.8789210901766182,-1.5416240247193287,-1.3372970654572895,0,0.016053472858067686,0.0,,KRW=X,,,,,,,,,,,,,,,,,,
2024-08-08,KOSPI,KR_INDEX,FinanceDataReader,2530.21,2570.34,2518.52,2556.73,495299005,,-0.004547560553026853,-0.07954479997695918,-0.1157314057447213,-0.06358548752170068,-0.02430526404164224,0.01230975119177713,2765.0646666666667,2747.351333333333,2715.68125,1,1,1,-0.07534531440735437,-0.06938367547701085,-0.05853089349127405,2891.35,-0.1157314057447213,0.024152653160059847,0.015729262462383358,33.01458555674134,-62.08538330018155,-34.42107494541216,-27.66430835476939,0,-0.06358548752170068,508996661.05,0.9730889078491333,KS11,,,,,,,,,,,,,,,,,,
2024-08-08,VanEck Semiconductor ETF,US_ETF,yfinance,217.60000610351562,225.27000427246094,212.6999969482422,224.91000366210938,11407900,,0.06355512537865571,-0.02640574429582121,-0.17013499823157485,0.007390527617445297,0.11000892844770926,0.5112887554972445,250.8939987182617,250.58283335367838,234.2361665089925,1,1,1,-0.1035656300624821,-0.10245246790443052,-0.03981521293606505,281.2699890136719,-0.20037681783683992,0.03975906623686257,0.02762192634026606,40.32970206177172,-11.129002867728673,-8.222948947401495,-2.906053920327178,0,0.007390527617445297,12309255.0,0.9267742036378318,SMH,,,,,,,,,,,,,0.013499984393189628,-0.08927104357897242,-0.02916853327315294,0.042281799929814234,-0.12875649692478564,-0.0354395801855909
2024-08-08,iShares Semiconductor ETF,US_ETF,yfinance,205.47000122070312,213.25999450683594,201.24000549316406,213.0399932861328,6243200,,0.0689949343329963,-0.024631466568602045,-0.1702758015915351,-0.03470776514739038,0.016606202367253076,0.3215060133596983,238.2056666056315,239.4478322347005,228.95647176106772,0,1,0,-0.10564682896970068,-0.11028639809394236,-0.06951748667556723,265.489990234375,-0.19755922587491626,0.03988978952659277,0.026925322149381065,39.68435481703242,-10.893233159469474,-7.9455083604768095,-2.947724798992665,0,-0.03470776514739038,6049975.0,1.0319381485047459,SOXX,,,,,,,,,,,,,0.012787499611661526,-0.0894255671422074,-0.06974919074203234,0.04005030557336106,-0.1289043209832953,-0.07575810852552556
